  Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      858    0.006    0.000  488.776    0.570 urllib2.py:1221(https_open)
      858    0.007    0.000  488.923    0.570 urllib2.py:123(urlopen)
      858    0.007    0.000    0.042    0.000 urllib2.py:181(request_host)
      858    0.010    0.000    0.065    0.000 urllib2.py:199(__init__)
      858    0.001    0.000    0.001    0.000 urllib2.py:231(get_method)
     1716    0.001    0.000    0.001    0.000 urllib2.py:242(has_data)
     1716    0.002    0.000    0.002    0.000 urllib2.py:248(get_full_url)
     1716    0.003    0.000    0.008    0.000 urllib2.py:254(get_type)
     1716    0.003    0.000    0.012    0.000 urllib2.py:261(get_host)
      858    0.000    0.000    0.000    0.000 urllib2.py:268(get_selector)
      858    0.001    0.000    0.001    0.000 urllib2.py:280(has_proxy)
     1716    0.002    0.000    0.003    0.000 urllib2.py:293(add_unredirected_header)
     1716    0.001    0.000    0.001    0.000 urllib2.py:297(has_header)
     1716    0.006    0.000  488.783    0.285 urllib2.py:374(_call_chain)
      858    0.017    0.000  488.916    0.570 urllib2.py:386(open)
      858    0.009    0.000  488.793    0.570 urllib2.py:414(_open)
      858    0.003    0.000    0.003    0.000 urllib2.py:516(http_response)
      865    0.007    0.000    0.030    0.000 urlparse.py:136(urlparse)
      240    0.002    0.000    0.003    0.000 urlparse.py:159(_splitnetloc)
      866    0.011    0.000    0.020    0.000 urlparse.py:167(urlsplit)
      478    0.000    0.000    0.000    0.000 urlparse.py:205(<genexpr>)
        1    0.000    0.000    0.000    0.000 urlparse.py:222(urlunparse)
        1    0.000    0.000    0.000    0.000 urlparse.py:232(urlunsplit)
       12    0.000    0.000    0.000    0.000 urlparse.py:68(clear_cache)
        1    0.000    0.000    0.000    0.000 urlparse.py:76(username)
        1    0.000    0.000    0.000    0.000 urlparse.py:86(password)
        3    0.000    0.000    0.000    0.000 utf_8.py:15(decode)
        2    0.000    0.000    0.000    0.000 util.py:46(__new__)
        2    0.000    0.000    0.000    0.000 util.py:65(split_first)
        2    0.000    0.000    0.000    0.000 util.py:98(parse_url)
        3    0.000    0.000    0.000    0.000 utils.py:119(to_key_val_list)
        1    0.000    0.000    0.000    0.000 utils.py:271(get_encoding_from_headers)
        1    0.000    0.000    0.000    0.000 utils.py:356(unquote_unreserved)
        1    0.000    0.000    0.000    0.000 utils.py:374(requote_uri)
        1    0.000    0.000    0.000    0.000 utils.py:386(get_environ_proxies)
        6    0.000    0.000    0.000    0.000 utils.py:397(<lambda>)
        1    0.000    0.000    0.000    0.000 utils.py:421(default_user_agent)
        2    0.000    0.000    0.000    0.000 utils.py:44(super_len)
        1    0.000    0.000    0.000    0.000 utils.py:452(default_headers)
        1    0.000    0.000    0.000    0.000 utils.py:500(guess_json_utf)
        1    0.000    0.000    0.000    0.000 utils.py:53(get_netrc_auth)
        2    0.000    0.000    0.000    0.000 utils.py:543(get_auth_from_url)
        3    0.000    0.000    0.000    0.000 utils.py:57(<genexpr>)
        3    0.000    0.000    0.000    0.000 {_codecs.utf_8_decode}
  5124212    1.227    0.000    1.227    0.000 {_json.encode_basestring_ascii}
      859   15.471    0.018   15.489    0.018 {_socket.getaddrinfo}
      858    0.101    0.000    0.101    0.000 {_ssl.sslwrap}
        1    0.000    0.000    0.000    0.000 {all}
      240    0.001    0.000    0.002    0.000 {any}
     1107    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x1072be328}
        3    0.000    0.000    0.000    0.000 {built-in method decompress}
      858  112.799    0.131  112.799    0.131 {built-in method do_handshake}
        1    0.000    0.000    0.000    0.000 {built-in method flush}
      859    0.001    0.000    0.001    0.000 {built-in method fromkeys}
     6604  366.660    0.056  366.660    0.056 {built-in method read}
        2    0.000    0.000    0.000    0.000 {built-in method utcnow}
      858    0.043    0.000    0.043    0.000 {built-in method write}
    22923    0.013    0.000    0.013    0.000 {cStringIO.StringIO}
     5148    0.002    0.000    0.002    0.000 {delattr}
    14615    0.011    0.000    0.011    0.000 {getattr}
     5166    0.016    0.000    0.016    0.000 {hasattr}
   779114    0.092    0.000    0.092    0.000 {id}
  9851852    2.785    0.000    2.785    0.000 {isinstance}
    49777    0.014    0.000    0.014    0.000 {len}
        3    0.000    0.000    0.000    0.000 {map}
     4647    0.006    0.000    0.006    0.000 {max}
       28    0.000    0.000    0.000    0.000 {method 'acquire' of 'thread.lock' objects}
    26814    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
     2574    0.001    0.000    0.001    0.000 {method 'capitalize' of 'str' objects}
       12    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
      859   49.413    0.058   49.413    0.058 {method 'connect' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'count' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {method 'decode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        4    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
2574/2572    0.004    0.000    0.004    0.000 {method 'encode' of 'unicode' objects}
     2192    0.001    0.000    0.001    0.000 {method 'end' of '_sre.SRE_Match' objects}
    15448    0.008    0.000    0.008    0.000 {method 'endswith' of 'str' objects}
     1093    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
    15969    0.016    0.000    0.016    0.000 {method 'find' of 'str' objects}
      951    0.001    0.000    0.001    0.000 {method 'find' of 'unicode' objects}
        2    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
    24063    0.011    0.000    0.011    0.000 {method 'get' of 'dict' objects}
      858    0.021    0.000    0.021    0.000 {method 'getpeername' of '_socket.socket' objects}
     3043    0.015    0.000    0.015    0.000 {method 'getvalue' of 'cStringIO.StringO' objects}
     2574    0.001    0.000    0.001    0.000 {method 'group' of '_sre.SRE_Match' objects}
     1716    0.001    0.000    0.001    0.000 {method 'index' of 'str' objects}
       36    0.000    0.000    0.000    0.000 {method 'isspace' of 'str' objects}
   754389    0.387    0.000    0.387    0.000 {method 'items' of 'dict' objects}
      858    0.000    0.000    0.000    0.000 {method 'iteritems' of 'dict' objects}
16970/16963    0.303    0.000    0.304    0.000 {method 'join' of 'str' objects}
     2130    0.004    0.000    0.004    0.000 {method 'keys' of 'dict' objects}
    25842    0.015    0.000    0.015    0.000 {method 'lower' of 'str' objects}
     1949    0.001    0.000    0.001    0.000 {method 'lower' of 'unicode' objects}
     4766    0.015    0.000    0.015    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        6    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
    15962    0.011    0.000    0.011    0.000 {method 'read' of 'cStringIO.StringO' objects}
    15448    0.009    0.000    0.009    0.000 {method 'readline' of 'cStringIO.StringO' objects}
        3    0.680    0.227    0.680    0.227 {method 'recv' of '_socket.socket' objects}
       16    0.000    0.000    0.000    0.000 {method 'release' of 'thread.lock' objects}
        4    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
     1712    0.001    0.000    0.001    0.000 {method 'rfind' of 'unicode' objects}
        3    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
    38022    0.024    0.000    0.024    0.000 {method 'seek' of 'cStringIO.StringO' objects}
        1    2.273    2.273    2.273    2.273 {method 'sendall' of '_socket.socket' objects}
        4    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
        4    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      857    0.003    0.000    0.003    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
     1725    0.004    0.000    0.004    0.000 {method 'split' of 'str' objects}
      238    0.001    0.000    0.001    0.000 {method 'split' of 'unicode' objects}
     2585    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
      856    0.001    0.000    0.001    0.000 {method 'startswith' of 'unicode' objects}
    19738    0.009    0.000    0.009    0.000 {method 'strip' of 'str' objects}
      856    0.001    0.000    0.001    0.000 {method 'strip' of 'unicode' objects}
      858    0.004    0.000    0.004    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
    21459    0.005    0.000    0.005    0.000 {method 'tell' of 'cStringIO.StringO' objects}
     2574    0.001    0.000    0.001    0.000 {method 'title' of 'str' objects}
      858    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        8    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
    24249    0.090    0.000    0.090    0.000 {method 'write' of 'cStringIO.StringO' objects}
        1    0.113    0.113    0.113    0.113 {method 'writelines' of 'file' objects}
     1974    0.002    0.000    0.002    0.000 {min}
        1    0.002    0.002    0.002    0.002 {open}
        2    0.000    0.000    0.000    0.000 {posix.stat}
      860    0.001    0.000    0.001    0.000 {range}
     2558    0.004    0.000    0.004    0.000 {repr}
    15450    0.010    0.000    0.010    0.000 {setattr}
   751798    2.010    0.000    2.540    0.000 {sorted}
        7    0.000    0.000    0.000    0.000 {thread.allocate_lock}
        8    0.000    0.000    0.000    0.000 {thread.get_ident}
        4    0.000    0.000    0.000    0.000 {time.time}
        1    0.000    0.000    0.000    0.000 {zlib.decompressobj}
